Product;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;;;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Jesslyn Elisa Kosasih;Lifestyle;https://www.tiktok.com/@jesslynelisakosasih/video/7654898382938426631?is_from_webapp=1&sender_device=pc;;;11635;729167;94;118;12;0;0;0,10%;10,17%;1,01%;6179,381356
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;RD Putri;Lifestyle;https://www.tiktok.com/@urfavgirlsoon_/video/7656391544676650248?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;14600;729167;103;129;11;0;0;0,08%;8,53%;0,88%;5652,457364
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Rifa Salma Kamila;Lifestyle;https://www.tiktok.com/@222rifaa/video/7656355119394557192?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;4015;729167;138;173;13;0;0;0,32%;7,51%;4,31%;4214,83815
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Rinjani Anita;Lifestyle;https://www.tiktok.com/@rinjanianita/video/7653833581822807316?is_from_webapp=1&sender_device=pc;;;13100;729167;98;123;5;1;3;0,07%;7,32%;0,94%;5928,186992
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Rakha Gandawa Kusuma;Lifestyle;https://www.tiktok.com/@rakhagandawa_/video/7652778445046369557?is_from_webapp=1&sender_device=pc;;;2508;729167;82;102;5;1;1;0,28%;6,86%;4,07%;7148,696078
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Shyva Titania;Lifestyle;https://www.tiktok.com/@stitania/video/7657085087527324935?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;12800;729167;35;44;3;0;0;0,02%;6,82%;0,34%;16571,97727
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Tiara;Lifestyle;https://www.tiktok.com/@tiara__125/video/7646285536914623752?is_from_webapp=1&sender_device=pc;;;12900;729167;2255;2819;149;23;7;1,39%;6,35%;21,85%;258,6615821
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Chandra Wijaya;Lifestyle;https://www.tiktok.com/@chandraawjy_/video/7646338932099042580?is_from_webapp=1&sender_device=pc;;;24200;729167;177;221;10;0;4;0,06%;6,33%;0,91%;3299,39819
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Risna Oktavia;Lifestyle;https://www.tiktok.com/@risnaoktaviahardanik/video/7656358639782923527?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;6166;729167;14;17;1;0;0;0,02%;5,88%;0,28%;42892,17647
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Firdania Arifah;Lifestyle;https://www.tiktok.com/@firdaniaarfh/video/7651241692003110151?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;20100;729167;122;153;7;0;1;0,04%;5,23%;0,76%;4765,797386
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Dewi mayasari;Lifestyle;https://www.tiktok.com/@dewi_maya05/video/7646298566318755079?is_from_webapp=1&sender_device=pc;;;36600;729167;1897;2371;112;1;3;0,32%;4,89%;6,48%;307,535639
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Marsya Nur B;Lifestyle;https://www.tiktok.com/@syaa.bai/video/7650430328158342418?is_from_webapp=1&sender_device=pc;;;8230;729167;139;174;5;0;3;0,10%;4,60%;2,11%;4190,614943
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Olifya;Lifestyle;https://www.tiktok.com/@livythetic/video/7655100367155383572?is_from_webapp=1&sender_device=pc;;;10400;729167;114;142;6;0;0;0,06%;4,23%;1,37%;5134,978873
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Rezky Iskandar;Lifestyle;https://www.tiktok.com/@kyskndr/video/7654922293935656213?is_from_webapp=1&sender_device=pc;;;36000;729167;194;243;10;0;0;0,03%;4,12%;0,68%;3000,687243
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Hidayat F;Lifestyle;https://www.tiktok.com/@hidayatfd/video/7646464986964970772?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;2952;729167;242;303;12;0;0;0,41%;3,96%;10,26%;2406,491749
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Jessi Agustina;Lifestyle;https://www.tiktok.com/@jessi_agstina/video/7653033064762707220?is_from_webapp=1&sender_device=pc;;;6300;729167;61;76;3;0;0;0,05%;3,95%;1,21%;9594,302632
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Shanon;Lifestyle;https://www.tiktok.com/@shanon_1208/video/7646006689103187220?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;10700;729167;915;1144;40;0;2;0,39%;3,67%;10,69%;637,3837413
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Naila Bilbina;Lifestyle;https://www.tiktok.com/@causeyoulose/video/7652573563693649173?is_from_webapp=1&sender_device=pc;;;34000;729167;2886;3607;110;2;1;0,33%;3,13%;10,61%;202,153313
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Desi Permata;Lifestyle;https://www.tiktok.com/@desiipermaataa/video/7652313052389444871?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;1223;729167;170;212;6;0;0;0,49%;2,83%;17,33%;3439,466981
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Rafi;Lifestyle;https://www.tiktok.com/@raff05_/video/7644108175502839048?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;16300;729167;3442;4302;92;2;5;0,61%;2,30%;26,39%;169,4948861
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Fetri Nur;Lifestyle;https://www.tiktok.com/@fetrinp/video/7650379019610754324?_r=1&_t=ZS-978p97TFSDp;;;5000;729167;1359;1699;22;0;15;0,74%;2,18%;33,98%;429,1742201
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Septia Anggraini;Lifestyle;https://www.tiktok.com/@sicant1k___/video/7645702935636135175?is_from_webapp=1&sender_device=pc;;;3274;729167;1245;1556;20;2;6;0,86%;1,80%;47,53%;468,6163239
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Fauziah Faisal;Lifestyle;https://www.tiktok.com/@moodciaa/video/7651201726929702165?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;1099;729167;796;995;8;0;1;0,82%;0,90%;90,54%;732,8311558
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;milamiza;Lifestyle;https://www.tiktok.com/@milamiza00/video/7613538543574650120?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;12077;950000;223;296;74;44;6;1,03%;41,89%;2,45%;3209,459459
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Reynaldi Galuh Mulyana;Lifestyle;https://www.tiktok.com/@tipsmahasiswa/video/7613022311611911445?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;22374;950000;351;426;32;13;17;0,28%;14,55%;1,90%;2230,046948
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Ganis Alma Latifa;Lifestyle;https://www.tiktok.com/@latifalma/video/7613339729219685650?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;12807;950000;303;425;23;0;2;0,20%;5,88%;3,32%;2235,294118
