Category;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Fauziah Faisal;Lifestyle;https://www.tiktok.com/@moodciaa/video/7651201726929702165?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;1099;729167;796;995;8;0;1;0,82%;0,90%;90,54%;Rp732,83
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;milamiza;Lifestyle;https://www.tiktok.com/@milamiza00/video/7613538543574650120?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12077;950000;223;296;74;44;6;1,03%;41,89%;2,45%;Rp3.209,46
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Reynaldi Galuh Mulyana;Lifestyle;https://www.tiktok.com/@tipsmahasiswa/video/7613022311611911445?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;22374;950000;351;426;32;13;17;0,28%;14,55%;1,90%;Rp2.230,05
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Ganis Alma Latifa;Lifestyle;https://www.tiktok.com/@latifalma/video/7613339729219685650?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12807;950000;303;425;23;0;2;0,20%;5,88%;3,32%;Rp2.235,29
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Rifa Salma Kamila;Lifestyle;https://www.tiktok.com/@222rifaa/video/7614165698612333832?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;11441;950000;253;337;30;2;2;0,30%;10,09%;2,95%;Rp2.818,99
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Fadly Hidayat;Lifestyle;https://www.tiktok.com/@hidayatfd/video/7613193599710268692?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;18893;950000;1700;2109;151;0;1;0,80%;7,21%;11,16%;Rp450,45
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Carine Nadiav;Lifestyle;https://www.tiktok.com/@carpybaraz/video/7613760516732751125?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;72073;950000;424;514;39;2;2;0,06%;8,37%;0,71%;Rp1.848,25
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nurita ef;Lifestyle;https://www.tiktok.com/@nuritarara/video/7613145126793219335?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;11790;950000;167;491;17;3;2;0,19%;4,48%;4,16%;Rp1.934,83
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Rafa Ersa;Lifestyle;https://www.tiktok.com/@erswaldorf/video/7613639429881597202?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;22278;950000;426;1065;206;1;14;0,99%;20,75%;4,78%;Rp892,02
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Aji Dwi Prasetyo;Lifestyle;https://www.tiktok.com/@adwi.pr/video/7614407636523568392?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;11731;950000;545;630;16;1;4;0,18%;3,33%;5,37%;Rp1.507,94
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Agung Tommy;Lifestyle;https://www.tiktok.com/@fevereating/video/7614359896150035733?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;17760;950000;274;468;16;8;7;0,17%;6,62%;2,64%;Rp2.029,91
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nurman Sidik;Lifestyle;https://www.tiktok.com/@reviewbymanz/video/7613996394931571986?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12326;950000;1500;1807;129;1;15;1,18%;8,02%;14,66%;Rp525,73
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nur Lina;Lifestyle;https://www.tiktok.com/@heiina1_/video/7614125832000359700?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10153;950000;3700;5592;268;29;23;3,15%;5,72%;55,08%;Rp169,89
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Ficky Taufik Hidayat;Lifestyle;https://www.tiktok.com/@kamilahfickychannel/video/7614785343472094472?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;29999;950000;9700;12622;527;12;4;1,81%;4,30%;42,07%;Rp75,27
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;chacha peregerin;Lifestyle;https://www.tiktok.com/@oktavianac/video/7614928861117074706?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;22462;950000;1700;1847;22;15;11;0,21%;2,60%;8,22%;Rp514,35
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Elokclaraa;Lifestyle;https://www.tiktok.com/@elokclaraa/video/7614099262477012232?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;15122;950000;2300;2411;61;2;4;0,44%;2,78%;15,94%;Rp394,03
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Silvia Ratu Pitaloka;Lifestyle;https://www.tiktok.com/@silviaratuu/video/7614435684937436436?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;35399;950000;1300;1391;96;1;1;0,28%;7,05%;3,93%;Rp682,96
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Diajeng Melati S;Lifestyle;https://www.tiktok.com/@ajeeengms/video/7614305546946006290?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;10047;950000;1400;1852;108;13;4;1,24%;6,75%;18,43%;Rp512,96
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Eka Rukmanasari;Lifestyle;https://www.tiktok.com/@hellow_saa/video/7613656782774340871?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;69811;950000;493;643;55;2;0;0,08%;8,86%;0,92%;Rp1.477,45
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Rahmadilla Putri Berliana;Lifestyle;https://www.tiktok.com/@b.eerly/video/7614082694112120085?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;11870;950000;269;2321;16;1;36;0,45%;2,28%;19,55%;Rp409,31
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Annisa Nurma Utami;Lifestyle;https://www.tiktok.com/@annisanuuu/video/7613220983754722568?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;31315;950000;466;596;15;0;0;0,05%;2,52%;1,90%;Rp1.593,96
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;EGI SUANDI;Lifestyle;https://www.tiktok.com/@egisuandi/video/7613997937831496976?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;39868;950000;256;300;15;2;1;0,05%;6,00%;0,75%;Rp3.166,67
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Feby Asriani;Lifestyle;https://www.tiktok.com/@febyasr_/video/7613628516587883796?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;21953;950000;2500;2672;118;1;1;0,55%;4,49%;12,17%;Rp355,54
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;DODY SENJAYA;Lifestyle;https://www.tiktok.com/@langkahdody/video/7613398517016579336?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;98460;950000;4900;6583;347;5;18;0,38%;5,62%;6,69%;Rp144,31
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Macro;Irma Puspitasari;Lifestyle;https://www.tiktok.com/@irma_puspitasari/video/7614864104582335765?is_from_webapp=1&sender_device=pc;238400;950000;43000;48570;1532;17;21;0,66%;3,23%;20,37%;Rp19,56
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Mustami Rosyidah;Lifestyle;https://www.tiktok.com/@mustamiirrosyidah/video/7614897266654219541?is_from_webapp=1&sender_device=pc;10400;950000;4255;4255;215;14;12;2,32%;5,66%;40,91%;Rp223,27
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nabila Awanda;Lifestyle;https://www.tiktok.com/@aw.ann/video/7615095430082301191?is_from_webapp=1&sender_device=pc;12600;950000;209;258;305;0;0;2,42%;118,22%;2,05%;Rp3.682,17
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Fani;Lifestyle;https://www.tiktok.com/@byfa.ni/video/7615167933009972501?is_from_webapp=1&sender_device=pc;12800;950000;1800;2030;20;0;0;0,16%;0,99%;15,86%;Rp467,98
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Karisma Nurhady;Lifestyle;https://www.tiktok.com/@karismanhdy_/video/7615180824756981012?is_from_webapp=1&sender_device=pc;12300;950000;252;281;8;4;0;0,10%;4,27%;2,28%;Rp3.380,78
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Adim Miftah;Lifestyle;https://www.tiktok.com/@adimmiftah/video/7615189203399413000?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;26673;950000;668;915;9;0;1;0,04%;1,09%;3,43%;Rp1.038,25
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Mutiyaa;Lifestyle;https://www.tiktok.com/@mutiyamutya/video/7615493642496658708?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;11380;950000;95;499;3;6;5;0,12%;2,81%;4,38%;Rp1.903,81
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Syarah Larasaty;Lifestyle;https://www.tiktok.com/@sesisarah31/video/7615559587650866439?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12656;950000;467;704;115;0;0;0,91%;16,34%;5,56%;Rp1.349,43
